gauge_id,ID6,gauge_name,water_body,type,country,ORIG_FID,lon,lat,n_inhabitants,dens_inhabitants,hp_count,hp_qturb,hp_inst_turb,hp_max_power,num_reservoir,reservoir_cap,reservoir_he,reservoir_fs,reservoir_irr,reservoir_nousedata,reservoir_year_first,reservoir_year_last,catchment_area_km2,mean_elevation_m,mean_slope,specific_storage_mm,regulation_tier,glac_area,glac_area_neighbours,p_mean,pet_mean,aridity,frac_snow,crop_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,pct_complete_raw,pct_usable_final,start,end
2004,MuSMur,Murten,Murtensee,lake,CH,0,7.116918776238906,46.93074858468229,124387,174.529,0,0.0,0.0,0.0,0,0.0,,,,,,,712.7,431.0,5.53,0.0,N0,0.0,0.0,3.059,1.827,0.597,0.039,68.15,3.18,0.0,0.0,0.0,100.0,100.0,1981-01-01,2020-12-31
2017,ZuSZug,Zug,Zugersee,lake,CH,6,8.514322133089781,47.16787546032728,120844,483.376,0,0.0,0.0,0.0,0,0.0,,,,,,,250.0,413.0,9.65,0.0,N0,0.0,0.0,3.952,1.775,0.449,0.05,23.15,18.27,0.0,0.18,0.0,100.0,100.0,1981-01-01,2020-12-31
2031,AeSUnt,Unterägeri,Ägerisee,lake,CH,20,8.591832778234295,47.13797840510714,8217,170.832,0,0.0,0.0,0.0,0,0.0,,,,,,,48.1,723.0,12.6,0.0,N0,0.0,0.0,4.7,1.744,0.371,0.099,0.01,15.09,0.0,0.0,0.0,100.0,100.0,1981-01-01,2020-12-31
2101,LdLMel,Melide-Ferrera,Lago_di_Lugano,lake,CH,50,8.94888892874453,45.96628776762893,87545,292.793,0,0.0,0.0,0.0,0,0.0,,,,,,,299.0,272.0,21.71,0.0,N0,0.0,0.0,4.953,2.457,0.496,0.058,2.0,9.57,0.0,1.17,0.0,100.0,100.0,1981-01-01,2020-12-31
2137,BaSGel,Gelfingen,Baldeggersee,lake,CH,69,8.266399237886333,47.2098646024357,16061,219.413,0,0.0,0.0,0.0,0,0.0,,,,,,,73.2,461.0,4.81,0.0,N0,0.0,0.0,3.187,1.624,0.51,0.04,74.81,7.16,0.0,0.0,0.0,100.0,100.0,1981-01-01,2020-12-31
2097,HaSMei,Meisterschwanden,Hallwilersee,lake,CH,48,8.220331164920488,47.29577401428927,36108,259.396,0,0.0,0.0,0.0,0,0.0,,,,,,,139.2,448.0,5.19,0.0,N0,0.0,0.0,3.128,1.686,0.539,0.04,65.12,11.06,0.0,0.0,0.0,100.0,100.0,1981-01-01,2020-12-31
2081,PfSPfa,Pfäffikon,Pfäffikersee,lake,CH,39,8.78179599154886,47.36337723898209,15424,533.702,0,0.0,0.0,0.0,0,0.0,,,,,,,28.9,535.0,6.54,0.0,N0,0.0,0.0,3.89,1.744,0.448,0.054,45.08,10.59,0.0,0.99,0.0,100.0,100.0,1981-01-01,2020-12-31
2168,SeSSem,Sempach,Sempachersee,lake,CH,83,8.189172556231318,47.1342945512417,21324,282.812,0,0.0,0.0,0.0,0,0.0,,,,,,,75.4,502.0,4.08,0.0,N0,0.0,0.0,3.135,1.657,0.528,0.041,62.26,19.09,0.0,0.0,0.0,100.0,100.0,1981-01-01,2020-12-31
2082,GrSGre,Greifensee,Greifensee,lake,CH,40,8.67484487583752,47.36443683356746,120559,735.116,0,0.0,0.0,0.0,0,0.0,,,,,,,164.0,440.0,4.92,0.0,N0,0.0,0.0,3.582,1.749,0.488,0.039,52.93,6.85,0.0,0.2,0.0,100.0,99.78,1981-01-01,2020-12-31
2073,SiSSil,Silvaplana,Silvaplanersee,lake,CH,35,9.802381342294074,46.46006754158719,2156,15.703,0,0.0,0.0,0.0,0,0.0,,,,,,,137.3,1788.0,23.23,0.0,N0,7.057,0.0,2.872,1.256,0.437,0.437,0.31,5.33,6.54,20.71,29.75,100.0,98.51,1981-01-01,2020-12-31
2007,LdJLeP,Le_Pont,Lac_de_Joux,lake,CH,1,6.324021023024173,46.665323874999565,10091,48.213,0,0.0,0.0,0.0,0,0.0,,,,,,,209.3,1002.0,8.13,0.0,N0,0.0,0.0,4.983,1.84,0.369,0.17,6.39,4.71,0.0,0.0,0.0,97.5,97.5,1981-01-01,2020-12-31
2072,SiBSil,Sils_Baselgia,Silsersee,lake,CH,34,9.753228463811094,46.4343520379883,632,13.799,0,0.0,0.0,0.0,0,0.0,,,,,,,45.8,1798.0,23.49,0.0,N0,2.5299,0.0,3.042,1.319,0.434,0.417,0.94,9.0,6.76,18.18,24.4,100.0,96.19,1981-01-01,2020-12-31
2066,StMSMS,St._Moritz,St._Moritzersee,lake,CH,30,9.848065499617435,46.49753623881323,6700,39.136,0,0.0,0.0,0.0,0,0.0,,,,,,,171.2,1773.0,22.77,0.0,N0,7.2513,0.0,2.791,1.262,0.452,0.428,0.25,4.71,5.25,19.51,28.13,100.0,94.24,1981-01-01,2020-12-31
2484,LaSLau,Lauerz-Chlostermatt,Lauerzersee,lake,CH,194,8.596637391819995,47.030968692549855,9683,133.743,0,0.0,0.0,0.0,0,0.0,,,,,,,72.4,448.0,15.35,0.0,N0,0.0,0.0,4.824,1.693,0.351,0.083,13.18,4.15,0.0,0.01,0.0,94.0,94.0,1981-01-01,2020-12-31
