gauge_id,water_body,driver,adf_p_target,best_lag,min_p,significant_5pct
2004,Murtensee,precipitation_mm,0.0,1,0.0,True
2004,Murtensee,temperature_mean_c,0.0,20,1.8140476025936154e-46,True
2004,Murtensee,snowmelt_proxy,0.0,4,8.744558363830962e-23,True
2017,Zugersee,precipitation_mm,0.0,1,0.0,True
2017,Zugersee,temperature_mean_c,0.0,4,7.063160551772857e-28,True
2017,Zugersee,snowmelt_proxy,0.0,7,4.94628349742755e-07,True
2031,Ägerisee,precipitation_mm,0.0,1,0.0,True
2031,Ägerisee,temperature_mean_c,0.0,4,5.135109177566325e-29,True
2031,Ägerisee,snowmelt_proxy,0.0,11,1.0981248087490407e-17,True
2101,Lago_di_Lugano,precipitation_mm,0.0,1,0.0,True
2101,Lago_di_Lugano,temperature_mean_c,0.0,1,8.818482628583498e-25,True
2101,Lago_di_Lugano,snowmelt_proxy,0.0,27,0.006566831614199629,True
2137,Baldeggersee,precipitation_mm,0.0,1,0.0,True
2137,Baldeggersee,temperature_mean_c,0.0,7,4.656698024031781e-15,True
2137,Baldeggersee,snowmelt_proxy,0.0,20,1.5580488789298552e-47,True
2097,Hallwilersee,precipitation_mm,0.0,1,0.0,True
2097,Hallwilersee,temperature_mean_c,0.0,8,8.563341132984103e-20,True
2097,Hallwilersee,snowmelt_proxy,0.0,21,8.264642333541248e-26,True
2081,Pfäffikersee,precipitation_mm,0.0,1,0.0,True
2081,Pfäffikersee,temperature_mean_c,0.0,11,1.7300172105017568e-19,True
2081,Pfäffikersee,snowmelt_proxy,0.0,7,5.839474625654332e-10,True
2168,Sempachersee,precipitation_mm,0.0,1,0.0,True
2168,Sempachersee,temperature_mean_c,0.0,4,3.7145806960942796e-26,True
2168,Sempachersee,snowmelt_proxy,0.0,7,3.407175695736242e-07,True
2082,Greifensee,precipitation_mm,0.0,1,0.0,True
2082,Greifensee,temperature_mean_c,0.0,5,1.8876460913542067e-26,True
2082,Greifensee,snowmelt_proxy,0.0,6,6.212465654811976e-13,True
2073,Silvaplanersee,precipitation_mm,0.0,7,2.4105995815828688e-207,True
2073,Silvaplanersee,temperature_mean_c,0.0,10,2.1136213179423554e-50,True
2073,Silvaplanersee,snowmelt_proxy,0.0,7,1.0647645630692917e-33,True
2007,Lac_de_Joux,precipitation_mm,0.0,12,0.0,True
2007,Lac_de_Joux,temperature_mean_c,0.0,14,1.5543262448875843e-21,True
2007,Lac_de_Joux,snowmelt_proxy,0.0,18,1.2377183952217452e-20,True
2072,Silsersee,precipitation_mm,0.0,4,7.633802812192112e-210,True
2072,Silsersee,temperature_mean_c,0.0,20,4.765012934101238e-44,True
2072,Silsersee,snowmelt_proxy,0.0,24,2.504771371500856e-42,True
2066,St._Moritzersee,precipitation_mm,0.0,14,2.151084754584012e-84,True
2066,St._Moritzersee,temperature_mean_c,0.0,8,1.4219749215806644e-31,True
2066,St._Moritzersee,snowmelt_proxy,0.0,7,7.149203608765579e-15,True
2484,Lauerzersee,precipitation_mm,0.0,1,0.0,True
2484,Lauerzersee,temperature_mean_c,0.0,5,2.3411296554388293e-30,True
2484,Lauerzersee,snowmelt_proxy,0.0,7,4.314611349349378e-12,True
