gauge_id,water_body,regulation_tier,driver,peak_lag_days,peak_corr,corr_at_lag0,peak_sign,peak_at_boundary
2004,Murtensee,N0,precipitation_mm,4,0.2967,0.1089,positive,False
2004,Murtensee,N0,temperature_mean_c,6,0.0983,0.0117,positive,False
2004,Murtensee,N0,snowmelt_proxy,3,0.0889,0.0242,positive,False
2017,Zugersee,N0,precipitation_mm,9,0.1913,0.0397,positive,False
2017,Zugersee,N0,temperature_mean_c,30,-0.104,-0.0864,negative,False
2017,Zugersee,N0,snowmelt_proxy,7,0.0783,0.0454,positive,False
2031,Ägerisee,N0,precipitation_mm,6,0.2168,0.061,positive,False
2031,Ägerisee,N0,temperature_mean_c,1,-0.1246,-0.1233,negative,False
2031,Ägerisee,N0,snowmelt_proxy,7,0.1156,0.046,positive,False
2101,Lago_di_Lugano,N0,precipitation_mm,3,0.3205,0.1274,positive,False
2101,Lago_di_Lugano,N0,temperature_mean_c,1,-0.0939,-0.0853,negative,False
2101,Lago_di_Lugano,N0,snowmelt_proxy,0,0.119,0.119,positive,False
2137,Baldeggersee,N0,precipitation_mm,9,0.2127,0.0372,positive,False
2137,Baldeggersee,N0,temperature_mean_c,18,-0.0837,-0.072,negative,False
2137,Baldeggersee,N0,snowmelt_proxy,8,0.1204,0.0703,positive,False
2097,Hallwilersee,N0,precipitation_mm,12,0.1778,0.0434,positive,False
2097,Hallwilersee,N0,temperature_mean_c,55,-0.0985,-0.0831,negative,True
2097,Hallwilersee,N0,snowmelt_proxy,9,0.0912,0.0389,positive,False
2081,Pfäffikersee,N0,precipitation_mm,6,0.2062,0.0536,positive,False
2081,Pfäffikersee,N0,temperature_mean_c,0,-0.105,-0.105,negative,False
2081,Pfäffikersee,N0,snowmelt_proxy,7,0.1254,0.0779,positive,False
2168,Sempachersee,N0,precipitation_mm,11,0.172,0.0265,positive,False
2168,Sempachersee,N0,temperature_mean_c,54,-0.0637,-0.0554,negative,False
2168,Sempachersee,N0,snowmelt_proxy,7,0.0927,0.0586,positive,False
2082,Greifensee,N0,precipitation_mm,4,0.3007,0.0712,positive,False
2082,Greifensee,N0,temperature_mean_c,1,-0.1151,-0.1111,negative,False
2082,Greifensee,N0,snowmelt_proxy,4,0.1336,0.0789,positive,False
2073,Silvaplanersee,N0,precipitation_mm,2,0.1224,0.0602,positive,False
2073,Silvaplanersee,N0,temperature_mean_c,4,0.1899,0.1187,positive,False
2073,Silvaplanersee,N0,snowmelt_proxy,3,0.2352,0.1975,positive,False
2007,Lac_de_Joux,N0,precipitation_mm,8,0.1686,0.0464,positive,False
2007,Lac_de_Joux,N0,temperature_mean_c,8,0.0555,0.0063,positive,False
2007,Lac_de_Joux,N0,snowmelt_proxy,11,0.1492,0.0651,positive,False
2072,Silsersee,N0,precipitation_mm,2,0.1389,0.0728,positive,False
2072,Silsersee,N0,temperature_mean_c,5,0.1615,0.0764,positive,False
2072,Silsersee,N0,snowmelt_proxy,4,0.216,0.1445,positive,False
2066,St._Moritzersee,N0,precipitation_mm,1,0.1263,0.0459,positive,False
2066,St._Moritzersee,N0,temperature_mean_c,3,0.1239,0.0709,positive,False
2066,St._Moritzersee,N0,snowmelt_proxy,2,0.1353,0.0939,positive,False
2484,Lauerzersee,N0,precipitation_mm,3,0.3749,0.0918,positive,False
2484,Lauerzersee,N0,temperature_mean_c,1,-0.1529,-0.148,negative,False
2484,Lauerzersee,N0,snowmelt_proxy,3,0.186,0.1335,positive,False
