gauge_id,water_body,regulation_tier,n_days,pct_complete_raw,pct_usable_final,n_spike,n_flatline,n_interp_short,n_interp_seasonal,n_gap_long,start,end
2004,Murtensee,N0,14610,100.0,100.0,0,0,59,122,0,1981-01-01,2020-12-31
2007,Lac_de_Joux,N0,14610,97.5,97.5,0,0,45,150,365,1981-01-01,2020-12-31
2017,Zugersee,N0,14610,100.0,100.0,0,0,32,45,0,1981-01-01,2020-12-31
2021,Lago_di_Lugano,N0,14610,100.0,99.99,2,0,108,355,0,1981-01-01,2020-12-31
2022,Lago_Maggiore,N1,14610,100.0,100.0,0,0,82,132,0,1981-01-01,2020-12-31
2023,Brienzersee,N1,14610,100.0,100.0,0,0,58,49,0,1981-01-01,2020-12-31
2025,Vierwaldstättersee,N1,14610,100.0,100.0,0,0,63,92,0,1981-01-01,2020-12-31
2027,Lac_Léman,N1,14610,100.0,100.0,0,0,25,21,0,1981-01-01,2020-12-31
2028,Lac_Léman,N1,14610,100.0,100.0,0,0,24,14,0,1981-01-01,2020-12-31
2031,Ägerisee,N0,14610,100.0,100.0,0,0,57,122,0,1981-01-01,2020-12-31
2032,Bodensee_(Obersee),N1,14610,100.0,100.0,0,0,52,41,0,1981-01-01,2020-12-31
2043,Bodensee_(Untersee),N1,14610,100.0,100.0,0,0,27,54,0,1981-01-01,2020-12-31
2066,St._Moritzersee,N0,14610,100.0,94.24,0,0,138,656,842,1981-01-01,2020-12-31
2072,Silsersee,N0,14610,100.0,96.19,0,0,116,1754,557,1981-01-01,2020-12-31
2073,Silvaplanersee,N0,14610,100.0,98.51,2,0,83,753,216,1981-01-01,2020-12-31
2074,Lago_Maggiore,N1,14610,100.0,100.0,0,0,78,155,0,1981-01-01,2020-12-31
2081,Pfäffikersee,N0,14610,100.0,100.0,0,0,83,142,0,1981-01-01,2020-12-31
2082,Greifensee,N0,14610,100.0,99.78,0,0,56,255,32,1981-01-01,2020-12-31
2088,Sarnersee,N1,14610,100.0,100.0,0,0,52,115,0,1981-01-01,2020-12-31
2093,Thunersee,N1,14610,100.0,100.0,0,0,122,43,0,1981-01-01,2020-12-31
2097,Hallwilersee,N0,14610,100.0,100.0,0,0,62,100,0,1981-01-01,2020-12-31
2101,Lago_di_Lugano,N0,14610,100.0,100.0,0,0,104,373,0,1981-01-01,2020-12-31
2118,Walensee,N1,14610,100.0,100.0,0,0,33,89,0,1981-01-01,2020-12-31
2137,Baldeggersee,N0,14610,100.0,100.0,0,0,55,46,0,1981-01-01,2020-12-31
2154,Lac_de_Neuchâtel,N1,14610,100.0,100.0,0,0,45,53,0,1981-01-01,2020-12-31
2168,Sempachersee,N0,14610,100.0,100.0,0,0,34,34,0,1981-01-01,2020-12-31
2207,Vierwaldstättersee,N1,14610,100.0,100.0,0,0,53,93,0,1981-01-01,2020-12-31
2208,Bielersee,N1,14610,100.0,100.0,0,0,85,48,0,1981-01-01,2020-12-31
2209,Zürichsee,N1,14610,100.0,100.0,0,0,86,79,0,1981-01-01,2020-12-31
2484,Lauerzersee,N0,14610,94.0,94.0,0,0,62,66,876,1981-01-01,2020-12-31
2642,Lac_de_Neuchâtel,N1,14610,100.0,100.0,0,0,37,103,0,1981-01-01,2020-12-31
